time,growth_rate,length
1205972992,0,0
1205976592,11.3914,250.4746
1205980192,11.3914,250.9493
1205983792,11.3914,251.4239
1205987392,11.3914,251.8986
1205990992,11.3914,252.3732
1205994592,11.3914,252.8478
1205998192,11.3914,253.3225
1206001792,11.3914,253.7971
1206005392,11.3914,254.2718
1206008992,11.3914,254.7464
1206012592,11.3914,255.221
1206016192,11.3914,255.6957
1206019792,11.3914,256.1703
1206023392,11.3914,256.645
1206026992,11.3914,257.1196
1206030592,11.3914,257.5942
1206034192,11.3914,258.0689
1206037792,11.3914,258.5435
1206041392,11.3914,259.0182
1206044992,11.3914,259.4928
1206048592,11.3914,259.9674
1206052192,11.3914,260.4421
1206055792,11.3914,260.9167
1206059392,11.3914,261.3914
1206062992,11.3914,261.866
1206066592,11.3914,262.3406
1206070192,11.3914,262.8153
1206073792,11.3914,263.2899
1206077392,11.3914,263.7646
1206080992,11.3914,264.2392
1206084592,11.3914,264.7138
1206088192,11.3914,265.1885
1206091792,11.3914,265.6631
1206095392,11.3914,266.1378
1206098992,11.3914,266.6124
1206102592,11.3914,267.087
1206106192,11.3914,267.5617
1206109792,11.3914,268.0363
1206113392,11.3914,268.511
1206116992,11.3914,268.9856
1206120592,11.3914,269.4602
1206124192,11.3914,269.9349
1206127792,11.3914,270.4095
1206131392,11.3914,270.8842
1206134992,11.3914,271.3588
1206138592,11.3914,271.8334
1206142192,11.3914,272.3081
1206145792,11.3914,272.7827
1206149392,11.3914,273.2574
1206152992,11.3914,273.732
1206156592,11.3914,274.2066
1206160192,11.3914,274.6813
1206163792,11.3914,275.1559
1206167392,11.3914,275.6306
1206170992,11.3914,276.1052
1206174592,11.3914,276.5798
1206178192,11.3914,277.0545
1206181792,11.3914,277.5291
1206185392,11.3914,278.0038
1206188992,11.3914,278.4784
1206192592,11.3914,278.953
1206196192,11.3914,279.4277
1206199792,11.3914,279.9023
1206203392,11.3914,280.377
1206206992,11.3914,280.8516
1206210592,11.3914,281.3262
1206214192,11.3914,281.8009
1206217792,11.3914,282.2755
1206221392,11.3914,282.7502
1206224992,11.3914,283.2248
1206228592,11.3914,283.6994
1206232192,11.3914,284.1741
1206235792,11.3914,284.6487
1206239392,11.3914,285.1234
1206242992,11.3914,285.598
1206246592,11.3914,286.0726
1206250192,11.3914,286.5473
1206253792,11.3914,287.0219
1206257392,11.3914,287.4966
1206260992,11.3914,287.9712
1206264592,11.3914,288.4458
1206268192,11.3914,288.9205
1206271792,11.3914,289.3951
1206275392,11.3914,289.8698
1206278992,11.3914,290.3444
1206282592,11.3914,290.819
1206286192,11.3914,291.2937
1206289792,11.3914,291.7683
1206293392,11.3914,292.243
1206296992,11.3914,292.7176
1206300592,11.3914,293.1922
1206304192,11.3914,293.6669
1206307792,11.3914,294.1415
1206311392,11.3914,294.6161
1206314992,11.3914,295.0908
1206318592,11.3914,295.5654
1206322192,11.3914,296.0401
1206325792,11.3914,296.5147
1206329392,11.3914,296.9893
1206332992,11.3914,297.464
1206336592,11.3914,297.9386
1206340192,11.3914,298.4133
1206343792,11.3914,298.8879
1206347392,11.3914,299.3625
1206350992,11.3914,299.8372
1206354592,11.3914,300.3118
1206358192,11.3914,300.7865
1206361792,11.3914,301.2611
1206365392,11.3914,301.7357
1206368992,11.3914,302.2104
1206372592,11.3914,302.685
1206376192,11.3914,303.1597
1206379792,11.3914,303.6343
1206383392,11.3914,304.1089
1206386992,11.3914,304.5836
1206390592,11.3914,305.0582
1206394192,11.3914,305.5329
1206397792,11.3914,306.0075
1206401392,11.3914,306.4821
1206404992,11.3914,306.9568
1206408592,11.3914,307.4314
1206412192,11.3914,307.9061
1206415792,11.3914,308.3807
1206419392,11.3914,308.8553
1206422992,11.3914,309.33
1206426592,11.3914,309.8046
1206430192,11.3914,310.2793
1206433792,11.3914,310.7539
1206437392,11.3914,311.2285
1206440992,11.3914,311.7032
1206444592,11.3914,312.1778
1206448192,11.3914,312.6525
1206451792,11.3914,313.1271
1206455392,11.3914,313.6017
1206458992,11.3914,314.0764
1206462592,11.3914,314.551
1206466192,11.3914,315.0257
1206469792,11.3914,315.5003
1206473392,11.3914,315.9749
1206476992,11.3914,316.4496
1206480592,11.3914,316.9242
1206484192,11.3914,317.3989
1206487792,11.3914,317.8735
1206491392,11.3914,318.3481
1206494992,11.3914,318.8228
1206498592,11.3914,319.2974
1206502192,11.3914,319.7721
1206505792,11.3914,320.2467
1206509392,11.3914,320.7213
1206512992,11.3914,321.196
1206516592,11.3914,321.6706
1206520192,11.3914,322.1453
1206523792,11.3914,322.6199
1206527392,11.3914,323.0945
1206530992,11.3914,323.5692
1206534592,11.3914,324.0438
1206538192,11.3914,324.5185
1206541792,11.3914,324.9931
1206545392,11.3914,325.4677
1206548992,11.3914,325.9424
1206552592,11.3914,326.417
1206556192,11.3914,326.8917
1206559792,11.3914,327.3663
1206563392,11.3914,327.8409
1206566992,11.3914,328.3156
1206570592,11.3914,328.7902
1206574192,11.3914,329.2649
1206577792,11.3914,329.7395
1206581392,11.3914,330.2141
1206584992,11.3914,330.6888
1206588592,11.3914,331.1634
1206592192,11.3914,331.6381
1206595792,11.3914,332.1127
1206599392,11.3914,332.5873
1206602992,11.3914,333.062
1206606592,11.3914,333.5366
1206610192,11.3914,334.0113
1206613792,11.3914,334.4859
1206617392,11.3914,334.9605
1206620992,11.3914,335.4352
1206624592,11.3914,335.9098
1206628192,11.3914,336.3845
1206631792,11.3914,336.8591
1206635392,11.3914,337.3337
1206638992,11.3914,337.8084
1206642592,11.3914,338.283
1206646192,11.3914,338.7577
1206649792,11.3914,339.2323
1206653392,11.3914,339.7069
1206656992,11.3914,340.1816
1206660592,11.3914,340.6562
1206664192,11.3914,341.1309
1206667792,11.3914,341.6055
1206671392,11.3914,342.0801
1206674992,11.3914,342.5548
1206678592,11.3914,343.0294
1206682192,11.3914,343.5041
1206685792,11.3914,343.9787
1206689392,11.3914,344.4533
1206692992,11.3914,344.928
1206696592,11.3914,345.4026
1206700192,11.3914,345.8773
1206703792,11.3914,346.3519
1206707392,11.3914,346.8265
1206710992,11.3914,347.3012
1206714592,11.3914,347.7758
1206718192,11.3914,348.2505
1206721792,11.3914,348.7251
1206725392,11.3914,349.1997
1206728992,11.3914,349.6744
1206732592,11.3914,350.149
1206736192,11.3914,350.6237
1206739792,11.3914,351.0983
1206743392,11.3914,351.5729
1206746992,11.3914,352.0476
1206750592,11.3914,352.5222
1206754192,11.3914,352.9969
1206757792,11.3914,353.4715
1206761392,11.3914,353.9461
1206764992,11.3914,354.4208
1206768592,11.3914,354.8954
1206772192,11.3914,355.3701
1206775792,11.3914,355.8447
1206779392,11.3914,356.3193
1206782992,11.3914,356.794
1206786592,11.3914,357.2686
1206790192,11.3914,357.7433
1206793792,11.3914,358.2179
1206797392,11.3914,358.6925
1206800992,11.3914,359.1672
1206804592,11.3914,359.6418
1206808192,11.3914,360.1165
1206811792,11.3914,360.5911
